"id,code,title,summary,sector_id,date_start,date_end,ethical_choice,intended_goal,confidence_score,notes"
"13,CASE-013,ASB Bank Home Loan Algorithm Postcode Bias,ASB automated mortgage pre-approval algorithms incorporated postcode-based risk assessments,6,2019,2022,ASB automated mortgage pre-approval algorithms incorporated postcode-based risk assessments that systematically disadvantaged certain geographic areas,Streamline mortgage applications and improve risk assessment by incorporating location-based property and demographic data,0.5,"
"14,CASE-014,Fraud Detection Algorithm False Positives Crisis,Banks tightened fraud detection algorithms during COVID-19 without adequate consideration of changing customer behaviour,6,2020,2021,Banks tightened fraud detection algorithms during COVID-19 without adequate consideration of changing customer behaviour patterns,Protect customers from increased online fraud during pandemic-driven digital banking adoption,0.8,"
"15,CASE-015,KiwiSaver Algorithm Portfolio Allocation Issues,KiwiSaver providers implemented automated portfolio rebalancing without adequate member consideration,10,2018,2020,Some KiwiSaver providers implemented automated portfolio rebalancing algorithms without adequate consideration of member age and risk tolerance profiles,Optimise investment returns through automated portfolio management and reduce management costs,0.6,"
"16,CASE-016,Westpac Business Banking Algorithm Credit Decisions,Westpac implemented automated business credit assessment heavily weighting recent financial performance during COVID-19,6,2020,,Westpac implemented automated business credit assessment algorithms that heavily weighted recent financial performance during COVID-19,Maintain prudent lending standards while processing high volumes of business loan applications during economic uncertainty,0.6,"
"17,CASE-017,Fintech Lending Platform Algorithmic Transparency Failure,Fintech lenders implemented opaque AI credit scoring systems without adequate disclosure,7,2021,2023,Fintech lenders implemented opaque AI credit scoring systems without adequate disclosure of decision-making factors to borrowers,Provide faster credit decisions and competitive rates through sophisticated risk assessment algorithms,0.6,"
"18,CASE-018,Insurance Premium Algorithm Postcode Discrimination,Insurers deployed automated premium pricing algorithms incorporating crime statistics and socio-economic data by postcode,8,2019,,Insurers deployed automated premium pricing algorithms that incorporated crime statistics and socio-economic data by postcode,Improve pricing accuracy and profitability by incorporating local risk factors into premium calculations,0.7,"
"19,CASE-019,BNZ Digital Banking Algorithm Customer Segmentation,BNZ implemented AI-driven customer segmentation for service levels based on profitability algorithms,6,2021,,BNZ implemented AI-driven customer segmentation for service levels and product offerings based on profitability algorithms,Optimise resource allocation and personalise banking services based on customer value and needs,0.5,"
"20,CASE-020,Cryptocurrency Exchange Market Manipulation Detection Failure,Crypto exchanges implemented automated market surveillance algorithms that failed to detect coordinated manipulation,9,2022,2023,Crypto exchanges implemented automated market surveillance algorithms that failed to detect coordinated manipulation schemes,Maintain fair and orderly markets while processing high-frequency trading volumes,0.6,"
"21,CASE-021,Small Business Loan Algorithm COVID-19 Response,Banks rapidly deployed automated loan assessment algorithms for COVID-19 business support,6,2020,2022,Banks rapidly deployed automated loan assessment algorithms to process COVID-19 business support loans without adequate bias testing,Quickly distribute government-backed business support while maintaining appropriate lending standards,0.7,"
"22,CASE-022,Robo-Advisor Suitability Algorithm Issues,Robo-advisor platforms implemented automated investment advice algorithms with limited suitability checking,11,2019,,Robo-advisor platforms implemented automated investment advice algorithms with limited suitability checking and risk profiling,Democratise investment advice and make wealth management accessible to smaller investors,0.6,"
"23,CASE-023,Commerce Commission BNPL Algorithm Investigation,Commerce Commission investigated BNPL algorithmic lending practices following consumer harm reports,12,2021,2024,Commerce Commission chose to investigate BNPL algorithmic lending practices following consumer harm reports leading to regulatory intervention,Protect consumers from irresponsible lending while allowing innovation in the credit market,0.8,"
"24,CASE-024,Kiwibank Agricultural Lending Algorithm Bias,Kiwibank deployed automated agricultural lending algorithms that inadvertently discriminated against certain farming practices,6,2020,,Kiwibank deployed automated agricultural lending algorithms that inadvertently discriminated against certain farming practices and regions,Streamline agricultural lending while maintaining appropriate risk assessment for farm loans,0.6,"
"25,CASE-025,Payroll Company Algorithm Tax Compliance Failure,Payroll fintechs implemented automated tax calculation algorithms without adequate testing for edge cases,13,2021,2022,Payroll fintechs implemented automated tax calculation algorithms without adequate testing for edge cases and regulatory changes,Provide cost-effective automated payroll services for small businesses with accurate tax compliance,0.7,"
"26,CASE-026,Sharesies Investment Algorithm Age Bias,Sharesies implemented investment recommendation algorithms that showed systematic bias toward younger users,11,2020,,Sharesies implemented investment recommendation algorithms that showed systematic bias toward younger users in product marketing and features,Personalise investment recommendations and platform features based on user behaviour and demographics,0.5,"
"27,CASE-027,Tower Insurance Claims Processing Algorithm,Tower implemented automated claims assessment algorithms to handle high volumes of weather and earthquake claims,8,2019,2021,Tower implemented automated claims assessment algorithms to handle high volumes of weather and earthquake claims more efficiently,Speed up claims processing and reduce costs while maintaining appropriate claims assessment standards,0.7,"
"28,CASE-028,Fintech Payment Algorithm Cultural Name Issues,Payment platforms implemented automated identity verification optimised for Western naming conventions,14,2021,,Payment platforms implemented automated identity verification and sanctions screening algorithms optimised for Western naming conventions,Ensure AML compliance and prevent sanctions violations while processing international payments efficiently,0.6,"
"29,CASE-029,Reserve Bank Stress Testing Algorithm Transparency,RBNZ implemented transparent algorithmic stress testing methodologies for bank capital requirements,15,2022,,RBNZ chose to implement transparent algorithmic stress testing methodologies for bank capital requirements while requiring banks to explain their own risk algorithms,Ensure financial system stability through rigorous and transparent risk assessment while promoting accountability in bank AI systems,0.8,"
"30,CASE-030,ANZ Mortgage Broker Algorithm Commission Bias,ANZ implemented algorithms that influenced mortgage broker recommendations based on bank profitability,6,2020,2023,ANZ implemented algorithms that influenced mortgage broker recommendations based on bank profitability rather than purely customer benefit,Optimise profitability from mortgage broker channel while maintaining competitive mortgage offerings,0.6,"
"31,CASE-031,Insurance Digital Assessment Medical Bias,Insurance companies implemented AI-driven medical underwriting that automatically flagged mental health conditions,8,2020,,Insurance companies implemented AI-driven medical underwriting that automatically flagged mental health conditions for decline or loading without individual assessment,Streamline underwriting process and manage risk through consistent application of medical criteria,0.7,"
"32,CASE-032,Peer-to-Peer Lending Default Prediction Bias,P2P lending platforms implemented machine learning default prediction models potentially embedding historical biases,7,2019,2022,P2P lending platforms implemented machine learning default prediction models trained on traditional banking data potentially embedding historical biases,Provide accurate risk assessment for peer-to-peer lending while expanding credit access beyond traditional banking,0.6"
