"id,ai_case_id,outcome_id,polarity,detail"
"47,10,,ongoing,Privacy Commissioner guidance emphasised need for clearer AI disclosures"
"48,11,,bad,Systematic discrimination against people with mental health conditions"
"49,11,,bad,Reduced insurance accessibility for people with disabilities"
"50,11,,bad,Over-reliance on historical data reinforcing health-based discrimination"
"51,11,,mixed,Faster processing for standard cases"
"52,11,,ongoing,IFSO complaints and Human Rights Act considerations"
"53,12,,bad,High false rejection rates for customers with M?ori Pacific and Asian names"
"54,12,,bad,Created barriers to financial inclusion in emerging digital asset markets"
"55,12,,bad,Disproportionate verification burdens on minority communities"
"56,12,,good,Eventually led to improved algorithm training and manual review processes"
"57,12,,mixed,Met basic AML compliance but with discriminatory effects"
"58,13,,bad,Systematic disadvantaging of applicants from lower socio-economic areas"
"59,13,,bad,Reinforced geographic and socio-economic segregation in housing"
"60,13,,bad,Disproportionate impact on M?ori and Pacific homebuyers concentrated in affected areas"
"61,13,,mixed,Some correlation with actual risk but lacked individual assessment"
"62,13,,good,Eventually led to algorithm adjustments following complaints"
"63,14,,bad,Massive increase in false positive fraud flags (some banks reported 300%+ increase)"
"64,14,,bad,Elderly customers disproportionately affected by legitimate transaction blocking"
"65,14,,bad,Essential purchases (groceries utilities) blocked causing hardship"
"66,14,,bad,Customer service overwhelmed leading to multi-day resolution times"
"67,14,,mixed,Did prevent some actual fraud but at significant customer cost"
"68,15,,bad,Some members close to retirement experienced inappropriate high-risk exposure"
"69,15,,bad,Lack of transparency about algorithmic investment decisions"
"70,15,,mixed,Some improved returns for appropriate risk profiles"
"71,15,,good,Regulatory response led to better member communication requirements"
"72,15,,ongoing,FMA guidance on robo-advisor disclosure and suitability"
"73,16,,bad,Systematically disadvantaged tourism and hospitality businesses despite government support measures"
"74,16,,bad,Algorithm couldnt distinguish between COVID-19 impact and underlying business viability"
"75,16,,mixed,Appropriate risk management for genuinely distressed businesses"
"76,16,,good,Eventually adjusted algorithms to consider longer-term performance data"
"77,16,,ongoing,Some viable businesses denied credit during recovery phase"
"78,17,,bad,Borrowers couldnt understand why applications were rejected"
"79,17,,bad,Use of alternative data raised privacy and fairness concerns"
"80,17,,bad,Limited ability for borrowers to improve their applications"
"81,17,,mixed,Enabled lending to some traditionally underserved segments"
"82,17,,ongoing,Commerce Commission guidance on fair lending practices and transparency"
"83,18,,bad,Systematically higher premiums for residents of lower socio-economic areas"
"84,18,,bad,Reinforced geographic inequality and limited insurance accessibility"
"85,18,,bad,Disproportionate impact on M?ori and Pacific communities concentrated in affected areas"
"86,18,,mixed,Some correlation with actual claim patterns"
"87,18,,ongoing,Regulatory scrutiny of discriminatory pricing practices"
"88,19,,mixed,Improved service for high-value customers but degraded experience for others"
"89,19,,bad,Created systematic service inequality based on wealth"
"90,19,,bad,Limited transparency about how service levels are determined"
"91,19,,good,More efficient resource allocation for bank operations"
"92,19,,ongoing,Questions about fairness and transparency in service delivery"
"93,20,,bad,Failed to detect pump-and-dump schemes targeting retail investors"
"94,20,,bad,Algorithm blind spots exploited by sophisticated manipulators"
"95,20,,bad,Retail investor losses from undetected market manipulation"
"96,20,,mixed,Did catch some obvious manipulation patterns"
"97,20,,ongoing,FMA increased oversight and guidance on market surveillance"
"98,21,,good,Enabled rapid distribution of emergency business funding"
"99,21,,bad,Algorithm biases disadvantaged newer businesses and non-traditional business models"
"100,21,,bad,M?ori and Pacific-owned businesses faced lower approval rates"
"101,21,,mixed,Balance between speed and fairness in emergency circumstances"
"102,21,,ongoing,Led to improved algorithm auditing requirements"
"103,22,,good,Increased access to investment advice for smaller investors"
"104,22,,bad,Some investors received inappropriate risk-level recommendations"
"105,22,,bad,Limited personalisation for complex financial circumstances"
"106,22,,mixed,Lower costs but potentially lower quality advice for some users"
"107,22,,ongoing,FMA guidance on robo-advisor suitability and disclosure requirements"
"108,23,,good,Proactive regulatory response to emerging risks"
"109,23,,good,Required improvements to BNPL credit assessment algorithms"
"110,23,,good,Better consumer protection measures implemented"
"111,23,,mixed,Some BNPL innovation slowed by regulatory requirements"
"112,23,,good,Established precedent for algorithmic lending oversight"
"113,24,,bad,Organic and regenerative farmers faced systematic lending disadvantages"
"114,24,,bad,Regional bias against areas with recent climate events"
"115,24,,bad,Algorithm couldnt assess innovation in farming practices"
"116,24,,mixed,Appropriate risk assessment for traditional farming metrics"
"117,24,,good,Eventually led to algorithm improvements and specialist review processes"
"118,25,,bad,Systematic tax calculation errors affecting multiple small businesses"
"119,25,,bad,Clients faced IRD penalties and interest charges due to algorithm errors"
"120,25,,bad,Small businesses lost trust in automated payroll systems"
"121,25,,good,Rapid resolution once errors were identified"
"122,25,,ongoing,Led to improved oversight of payroll service algorithms"
"123,26,,bad,Older users received less sophisticated investment options and educational content"
"124,26,,bad,Age-based assumptions limited access to certain investment products"
"125,26,,mixed,Effective engagement with younger demographic but potential age discrimination"
"126,26,,good,Eventually improved to provide more age-neutral recommendations"
"127,26,,ongoing,Questions about appropriate personalisation versus discrimination"
"128,27,,good,Significantly faster processing for straightforward claims"
"129,27,,bad,Algorithm struggled with complex or unusual damage patterns"
"130,27,,bad,Some legitimate claims undervalued by automated assessment"
"131,27,,mixed,Cost savings but increased disputes over settlement amounts"
"132,27,,good,Human review retained for complex claims and disputes"
"133,28,,bad,High false positive rates for non-Western names causing payment delays"
"134,28,,bad,Systematic barriers for Pacific remittances to family overseas"
"135,28,,bad,Cultural insensitivity in algorithm design and error messaging"
"136,28,,mixed,Effective sanctions compliance for Western names"
"137,28,,good,Eventually led to improved cultural competency in algorithm design"
"138,29,,good,Increased transparency in banking system risk assessment"
"139,29,,good,Improved public confidence in financial system oversight"
"140,29,,good,Established precedent for regulatory algorithm transparency"
"141,29,,mixed,Some banks concerned about competitive disclosure"
"142,29,,good,Enhanced system-wide risk management capabilities"
"143,30,,bad,Customers may have received sub-optimal mortgage products"
"144,30,,bad,Compromised independence of mortgage broker advice"
"145,30,,bad,Lack of transparency about algorithmic influence on recommendations"
"146,30,,mixed,Profitable for bank but potentially costly for customers"
"147,30,,ongoing,Commerce Commission guidance on conflicts of interest in algorithmic advice"
"148,31,,bad,Systematic discrimination against people with mental health conditions"
"149,31,,bad,Over-broad application of risk categories without individual consideration"
"150,31,,bad,Reduced insurance accessibility for people managing chronic conditions well"
"151,31,,mixed,Some improvement in processing consistency"
"152,31,,ongoing,Human Rights Commission guidance on insurance discrimination"
"153,32,,good,Enabled lending to some underserved populations"
"154,32,,bad,May have perpetuated historical lending biases"
"155,32,,mixed,Higher interest rates for higher-risk borrowers but potentially discriminatory"
"156,32,,good,Innovation in credit assessment methodologies"
"157,32,,ongoing,FMA guidance on fair lending practices in P2P platforms"
