"id,name"
"69,Machine learning models analysing hundreds of data points"
"70,Alternative data sources (social media browsing behaviour device information)"
"71,Minimal explanation of rejection reasons"
"72,Limited human review or appeals process"
"73,Algorithmic pricing models incorporating crime data income levels and claim history by area"
"74,Automated premium adjustments based on postcode"
"75,Limited individual risk assessment overrides"
"76,Use of demographic proxies for risk assessment"
"77,Algorithmic analysis of customer profitability account balances and transaction patterns"
"78,Automated service level assignment"
"79,Predictive models for customer lifetime value"
"80,Integration with customer service and sales systems"
"81,Algorithmic pattern recognition for unusual trading behaviour"
"82,Automated alerts for potential market manipulation"
"83,Limited human oversight of algorithmic flags"
"84,Focus on volume-based rather than coordination-based detection"
"85,Expedited algorithmic assessment of business loan applications"
"86,Automated credit scoring based on pre-pandemic business performance"
"87,Limited human review due to processing volume demands"
"88,Government guarantee reduced individual risk assessment"
"89,Simplified risk questionnaires feeding into automated portfolio recommendations"
"90,Algorithm-driven asset allocation based on limited customer inputs"
"91,Minimal ongoing suitability monitoring"
"92,Limited human adviser involvement or oversight"
"93,Investigation of BNPL credit assessment algorithms"
"94,Analysis of consumer outcome data and complaint patterns"
"95,Regulatory engagement with BNPL providers on responsible lending"
"96,Development of conduct guidelines for BNPL algorithms"
"97,Algorithmic assessment incorporating farm type regional climate data and historical performance"
"98,Automated flagging of farms with certain environmental or sustainability characteristics"
"99,Limited understanding of diverse farming practices in algorithm design"
"100,Overweight on recent commodity price volatility"
"101,Automated PAYE and ACC levy calculations"
"102,Algorithm-driven compliance reporting to IRD"
"103,Minimal human oversight of tax calculations"
"104,Rapid deployment without comprehensive edge case testing"
"105,Age-based algorithm customisation for investment recommendations"
"106,Different feature sets and educational content based on user age"
"107,Marketing algorithm targeting specific age demographics"
"108,Limited cross-age-group testing of algorithm performance"
"109,Automated assessment of claims based on damage photos and initial reports"
"110,Algorithm-driven settlement offers for certain claim types"
"111,Reduced human adjuster involvement for smaller claims"
"112,Pattern matching against historical claims data"
"113,Automated name matching against sanctions lists and identity databases"
"114,Algorithmic parsing of names for verification purposes"
"115,Limited cultural understanding in algorithm development"
"116,Batch processing with minimal individual case review"
"117,Published stress testing algorithms and methodologies"
"118,Required banks to disclose their risk management algorithms"
"119,Regular review and updating of algorithmic models"
"120,Public consultation on stress testing parameters"
"121,Algorithm-driven commission structures favouring certain loan products"
"122,Automated broker recommendation systems highlighting high-margin products"
"123,Performance metrics tied to algorithmic recommendations"
"124,Limited disclosure of algorithmic influence on broker advice"
"125,Automated analysis of medical questionnaires and GP reports"
"126,Algorithm-driven risk categorisation based on diagnostic codes"
"127,Automatic premium loadings or declines for certain conditions"
"128,Limited human underwriter review of algorithmic decisions"
"129,Machine learning models trained on credit bureau and alternative data"
"130,Algorithmic interest rate pricing based on predicted default probability"
"131,Limited bias testing or fairness auditing"
"132,Use of alternative data sources for credit-invisible populations"
